1,17
2,10
3,3
4,9
5,12
6,20
7,15
8,18
9,5
10,7
11,13
12,1
13,11
14,4
15,8
16,18
17,13
18,10
19,15
20,20
21,17
22,14
23,2
24,16
25,19
26,11
27,1
28,12
29,8
30,5
31,17
32,13
33,1
34,6
35,7
36,19
37,3
38,20
39,8
40,12
41,10
42,18
43,2
44,11
45,9
46,10
47,18
48,9
49,2
50,19
51,8
52,12
53,15
54,17
55,6
56,13
57,4
58,16
59,20
60,11
61,9
62,14
63,1
64,11
65,10
66,7
67,18
68,16
69,12
70,2
71,15
72,13
73,3
74,19
75,17
76,7
77,8
78,4
79,10
80,19
81,15
82,5
83,13
84,17
85,18
86,14
87,11
88,20
89,2
90,3
91,7
92,19
93,1
94,5
95,12
96,15
97,10
98,3
99,13
100,17
101,11
102,14
103,2
104,6
105,18
106,14
107,7
108,20
109,11
110,8
111,13
112,18
113,2
114,4
115,6
116,12
117,10
118,9
119,17
120,1
121,16
122,10
123,12
124,14
125,20
126,17
127,18
128,19
129,13
130,11
131,8
132,6
133,9
134,2
135,15
136,3
137,5
138,10
139,12
140,2
141,11
142,4
143,20
144,8
145,9
146,7
147,17
148,1
149,15
150,14
151,3
152,4
153,20
154,11
155,13
156,6
157,10
158,12
159,17
160,8
161,9
162,5
163,19
164,15
165,18
166,3
167,17
168,12
169,2
170,16
171,8
172,10
173,14
174,15
175,5
176,19
177,20
178,6
179,9
180,11
181,15
182,3
183,14
184,6
185,5
186,11
187,17
188,19
189,18
190,7
191,4
192,9
193,8
194,1
195,13
196,2
197,1
198,20
199,16
200,7
201,6
202,3
203,8
204,19
205,10
206,14
207,9
208,13
209,15
210,4
211,4
212,7
213,10
214,3
215,16
216,13
217,15
218,8
219,6
220,2
221,5
222,11
223,14
224,19
225,9
226,14
227,5
228,2
229,1
230,8
231,15
232,16
233,11
234,19
235,20
236,12
237,9
238,13
239,3
240,7
241,15
242,1
243,6
244,4
245,7
246,3
247,17
248,5
249,14
250,2
251,10
252,20
253,18
254,11
255,19
256,3
257,7
258,15
259,5
260,2
261,16
262,10
263,12
264,6
265,14
266,9
267,1
268,11
269,4
270,20
271,6
272,20
273,16
274,17
275,18
276,13
277,4
278,1
279,14
280,3
281,11
282,15
283,12
284,9
285,5
286,10
287,13
288,6
289,9
290,5
291,17
292,19
293,7
294,16
295,11
296,12
297,8
298,18
299,20
300,15
301,4
302,12
303,13
304,3
305,7
306,14
307,6
308,18
309,17
310,1
311,8
312,10
313,15
314,19
315,16
316,12
317,15
318,6
319,18
320,2
321,1
322,20
323,14
324,10
325,9
326,8
327,11
328,13
329,4
330,7
331,10
332,9
333,14
334,16
335,20
336,8
337,13
338,4
339,3
340,5
341,2
342,15
343,11
344,18
345,12
346,8
347,15
348,4
349,20
350,18
351,17
352,1
353,9
354,7
355,11
356,6
357,13
358,12
359,19
360,5
361,20
362,8
363,13
364,3
365,10
366,6
367,16
368,5
369,2
370,4
371,15
372,11
373,12
374,1
375,17
376,14
377,9
378,4
379,5
380,7
381,20
382,16
383,8
384,3
385,2
386,1
387,15
388,6
389,18
390,17
391,12
392,18
393,6
394,20
395,7
396,16
397,8
398,10
399,17
400,1
401,19
402,14
403,15
404,4
405,3
406,3
407,20
408,15
409,18
410,5
411,13
412,14
413,10
414,8
415,9
416,12
417,1
418,7
419,2
420,19
421,11
422,8
423,2
424,20
425,7
426,18
427,12
428,14
429,5
430,16
431,10
432,19
433,15
434,4
435,17
436,4
437,10
438,18
439,11
440,12
441,16
442,7
443,17
444,5
445,15
446,2
447,8
448,14
449,9
450,19
451,8
452,5
453,19
454,16
455,11
456,7
457,14
458,3
459,10
460,18
461,2
462,4
463,17
464,20
465,9
466,19
467,10
468,3
469,5
470,20
471,1
472,12
473,15
474,14
475,4
476,2
477,13
478,9
479,6
480,18
481,11
482,7
483,16
484,8
485,17
486,14
487,16
488,6
489,5
490,12
491,20
492,18
493,1
494,11
495,13
496,4
497,10
498,8
499,15
500,7
